,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,68,0.9734654317650054,2.0858682153679535e-06,0.8796785454637592,458,"[2, 4]","[18, 28]","[13, 11]",0.17502326937123186
1,160,0.9005883155296177,0.000557879057295337,0.9053128158086956,365,"[4, 3]","[39, 16]","[9, 8]",0.20159560196308485
2,120,0.9059595043928741,0.00037781811691513066,0.9063836615502864,251,"[2, 1]","[18, 48]","[16, 19]",0.19187032424339628
3,161,0.9846341428927347,0.0009437763318035621,0.8296495190449614,384,"[1, 1]","[24, 9]","[13, 11]",0.18528922719290716
4,121,0.9529521129776293,0.0002806270853469838,0.9331418869176022,496,"[4, 3]","[35, 40]","[6, 10]",0.18859755111661744
5,160,0.9165948292570602,0.0006180984215244437,0.8229245007967702,168,"[1, 2]","[31, 46]","[7, 14]",0.18379327478588267
6,56,0.9010080858239947,0.0001392826422138296,0.8510516473405031,30,"[2, 4]","[15, 43]","[7, 5]",0.17080661157972568
7,177,0.9022210841864802,0.00020171837299431036,0.9399412532244722,279,"[3, 4]","[35, 39]","[6, 12]",0.19509720335394545
8,144,0.9846657875077554,0.00031729152155368596,0.8806007397660961,235,"[2, 2]","[15, 48]","[13, 19]",0.19020078508339835
9,136,0.9148749212959787,0.0007206646907583879,0.8973318629358966,288,"[3, 2]","[48, 16]","[6, 12]",0.15333128883773064
