,Epoch,Decay,Learning Rate,Momentum,Feature Size,Score
0,167,0.969526329,0.000136307,0.838185815,454,0.001105226
1,196,0.929505095,0.000224567,0.851407149,7,0.017803134
2,66,0.933827516,0.000406525,0.932100358,295,0.001523524
3,99,0.942532688,0.000273815,0.807693904,166,0.007987326
4,95,0.92682343,0.000997712,0.9149269,320,0.001601614
5,131,0.943144133,0.000961387,0.863224047,171,0.014193324
6,54,0.902935935,0.000146127,0.942541227,433,0.003083871
7,154,0.928080398,0.000891321,0.845720485,486,0.062403019
8,122,0.901406742,0.000707927,0.807015907,62,0.010751833
9,99,0.970760429,0.00067231,0.897360458,125,0.003129991
10,131,0.920702868,0.00046068,0.876385367,170,0.012651096
11,74,0.935978273,7.99E-05,0.949568594,121,0.005016658
12,157,0.904859254,0.000288859,0.82532237,15,0.009508555
13,121,0.951525418,0.000578858,0.8614886,360,0.03493666
14,128,0.906709239,0.000891847,0.859272052,158,0.005662501
15,164,0.944614012,0.000159484,0.853999055,449,0.097163838
16,168,0.956326618,5.15E-05,0.813934751,297,0.033808877
17,47,0.915135427,0.000134648,0.889728714,305,0.002581327
18,193,0.905673194,0.000698972,0.940584893,56,0.009667877
19,72,0.938894659,0.000127511,0.921642155,42,0.024703601
20,173,0.974769776,0.000220251,0.938106419,129,0.006011154
21,139,0.940762858,0.000199556,0.927925616,119,0.006390669
22,85,0.900821907,0.000941935,0.86034082,80,0.005095999
23,50,0.939031763,0.000393418,0.911716066,263,0.010407951
24,169,0.932126561,0.000791983,0.822911061,286,0.010587443
25,176,0.95402777,0.000666589,0.937682099,29,0.006102091
26,190,0.977407968,0.000304926,0.87974462,451,0.103317674
27,193,0.90706221,0.000869233,0.882037454,23,0.009059885
28,73,0.964088348,0.000868067,0.853228977,224,0.097252364
29,88,0.97923343,0.000453608,0.834371433,45,0.008081388
30,112,0.907414525,0.000683155,0.879738773,58,0.005803967
31,134,0.921427537,0.00031564,0.924439496,205,0.020916814
32,130,0.920727338,0.000906786,0.887182546,210,0.008461481
33,99,0.931497152,0.000742944,0.81028684,320,0.054958127
34,150,0.935716708,0.000983069,0.845241083,35,0.009814835
35,84,0.968553803,0.000917349,0.894391368,377,0.003489327
36,165,0.918943626,0.000912626,0.936071726,140,0.006461147
37,133,0.971812759,0.000508387,0.931824181,244,0.061101048
38,86,0.902243102,0.000277923,0.939015181,112,0.015852743
39,165,0.985448297,0.000792454,0.945859784,272,0.005392447
40,103,0.987384225,0.000974183,0.852799096,274,0.00158026
41,41,0.943990305,0.000454935,0.809700502,224,0.005826823
42,148,0.9566673,0.000380129,0.947538652,484,0.148651209
43,92,0.900908349,0.000926705,0.837357917,281,0.05171991
44,99,0.947960274,0.000135576,0.853183439,384,0.016238093
