,Epoch,Decay,Learning Rate,Momentum,Feature Size,Score
0,68,0.9000230176799552,0.000793400844289287,0.8607787641702203,19,0.004810078645833102
1,82,0.9530332391181653,0.0008586525999710433,0.9071259631582348,470,0.23844132029367257
2,57,0.9463428560674468,0.0005083533476059037,0.9454748531045493,5,0.15751157079052197
3,148,0.9364302050537459,0.0009258081166748147,0.8097661402457808,169,0.23369807743417848
4,139,0.9197164245453575,7.936511534199316e-05,0.8721720256533415,23,0.1417503513622601
5,53,0.9028003289980632,0.00040298112358708226,0.8139873612160602,120,0.2546981609838557
6,47,0.9308008795768696,0.0006093932743639404,0.8136558924636923,15,0.19517203744604866
7,158,0.9409392597357248,0.0005328845435046633,0.9266769574015322,300,1.2214922839304585
8,114,0.9608464075434915,0.0009894288830124102,0.8965984405998055,477,0.4050370310689067
9,155,0.9350205374834781,0.0005885463603736348,0.8500824016873754,147,0.5890962864742079
10,136,0.9705776100751049,5.922479062650418e-06,0.9458829543502307,43,0.4810747166188551
11,61,0.9208281054671974,0.0004449317750308515,0.8482403569288324,213,0.16760666049591524
12,80,0.9058573833760413,0.00035912612096696087,0.9409424913857357,474,0.09667153578055532
13,160,0.9651401369728765,0.00045498468858960777,0.8496564918175337,156,0.2370915248612227
14,198,0.9424482656968296,0.00029126524045041953,0.8092794755770462,331,0.26909175948107344
15,56,0.944370548834103,0.0009111735292425343,0.9179922724748741,16,0.22186928153035984
16,151,0.9569551730500345,0.00034721894195912474,0.9417858759125495,343,0.585145316814247
17,102,0.9378088188840992,9.204262622558807e-05,0.8595125023674486,485,0.034873655199038255
18,121,0.9021779950519309,0.000826728207702621,0.8751848806339679,280,0.15122418176196753
19,42,0.9812708182533265,0.0002982724488963631,0.8816023994475551,403,0.06953896654613155
20,169,0.9448406217351916,0.0008690761604363302,0.827796739270384,69,0.30801973359378815
21,83,0.9690194753676749,0.0003046195718460206,0.8833696878087061,68,0.30221786569770354
22,153,0.9548919489319008,0.00011956459102974882,0.9430538019067451,291,0.3445195013610376
23,116,0.9583044473900936,0.00048760933871362053,0.9148079058941591,54,0.015196347402896257
24,150,0.9790806760989947,0.000710303640899671,0.8625508485934505,371,0.262033073797589
25,88,0.9756792599915567,0.0004319366674726359,0.9153870199719432,343,0.27669146966643937
26,88,0.9595961676439961,0.00037436864154921363,0.8104444804315613,130,0.389862335894135
27,154,0.9153289095352544,0.00040479456345364506,0.9088861633299409,113,0.19917024739793335
28,162,0.9485573339070749,0.0002778498368229867,0.9153977072892204,466,0.356716260877113
29,193,0.9304822089037411,0.0009713028278835005,0.8371090705263391,373,0.4473595805035066
30,89,0.9399798782433234,0.000428005271812645,0.9080811943633023,273,0.06502801346562333
31,107,0.9359557998967527,0.0008320959743197296,0.8194455358741937,281,1.2454477519281375
32,68,0.9181163892932414,0.0005394487057645039,0.8480109145600507,242,0.7598743642913177
33,82,0.9183422060798209,0.0005261316796220521,0.9186916993200345,478,0.2721532014501759
34,176,0.9442963677233618,0.00017571753809233405,0.8989243636350033,460,0.1366883660471215
35,52,0.9858694535745365,0.000617032389925762,0.8175463309186826,17,0.10761410648079768
36,96,0.976724363035182,0.0008242512702687444,0.8479787125413053,284,0.26317012738269085
37,96,0.9115307725765872,0.0006080040059619467,0.901113165308335,28,0.10750900729135286
38,92,0.9522632331297027,0.00044512890607242145,0.8642806834502937,76,0.1479369725416059
39,173,0.9691691415450578,0.0008245108771047072,0.9250036326633466,223,0.5995608626164777
40,90,0.9463917913572493,2.8776755914201073e-05,0.8067464890083283,458,0.6103079127783031
41,48,0.9415477565528941,0.0006002283679512006,0.929407932626527,290,0.21391973128907152
42,73,0.961789785829531,4.9191098526993305e-06,0.8896231512574172,100,0.15937297358835195
43,107,0.9320186366942427,0.0003857414790133954,0.9025546085814349,383,0.19273579348391912
44,57,0.936900704487222,0.00024069571378703466,0.8210445810185261,409,0.6460133885284944
45,89,0.9373221649088181,0.0004745454640420791,0.8632304402524156,13,0.16108814486902778
46,106,0.9736493345372401,0.0004941017478334846,0.9327025891584826,194,0.6667062200230628
47,125,0.9613017029137821,0.00047585224964771013,0.9101728879260946,436,0.012828823441313647
48,156,0.9117780587727411,0.00037231051225494126,0.8403495711559429,457,0.2639272200071424
49,126,0.9854310403162972,0.00023911405874438827,0.8657170671021508,70,0.14937489911962226
50,101,0.9876218761748046,0.0009821042101861943,0.8855155354656692,474,0.062122153837168424
51,166,0.9242161722366743,0.0006338676687438591,0.8481566809389338,117,0.37533164261637825
52,77,0.9116902446955394,0.0009793937569837056,0.948768801938769,153,0.08335904623208101
53,53,0.9227832001227301,0.0007005984679559882,0.9445606882024268,166,0.25260435690245364
54,54,0.9137876324656556,0.0003683317902113366,0.8219234111753573,376,0.4052700368537584
55,155,0.9148442383543864,0.0003645640050557971,0.9383070573357282,30,0.0009092068999685002
56,118,0.952665282703529,0.00042069743951012,0.8419539589339408,212,0.15749481684911104
57,182,0.9191307179500762,0.000557981249303867,0.9465158333111434,177,0.24682621973323393
58,141,0.9463741186157479,0.0009064090663360217,0.9314898743213216,295,0.15941289037649062
59,43,0.9121514902177824,0.00011748031462836014,0.9321281633092054,90,0.18749234845785245
60,52,0.9787346493893448,0.0003374301437600491,0.9163622152350426,291,0.831558997816689
61,174,0.9818247843244023,0.000662350498992168,0.8120892624084206,368,0.5119248482586976
62,155,0.9398045773056051,0.0006832174934318519,0.8999166837124941,159,0.21844001490881737
63,171,0.920772880623392,0.00022633869938276378,0.9207226660658674,236,0.6768429921441254
64,133,0.9271251341382506,0.00012124345322526219,0.8782655785841831,28,0.026402473507208757
65,96,0.9582967381070182,0.00020087780017269147,0.8513884890256126,252,1.0178535690636568
66,188,0.9059064502236955,0.00041423205979551294,0.9241723753987239,203,0.6517574674187909
67,148,0.911261457985203,0.00040377337227895854,0.8897477458708097,449,0.2773021389192073
68,71,0.9652691699106946,0.00045550459364255517,0.8467747610468126,294,0.6826303317753035
69,165,0.962808499605649,0.000537543569143967,0.9115980376469704,291,0.8994034144205961
70,98,0.9828549469220174,0.000828633669021556,0.8701472691690388,308,0.016843789996581718
71,156,0.9121348455797638,0.0005772102178943164,0.8044000337282127,271,0.3156887473079674
72,85,0.9478938806557359,0.0007937841449839739,0.9375856927190159,459,0.28914916893535997
73,199,0.9861529201083528,0.00022132129431383328,0.8874023619173362,4,0.0005840454536228683
74,165,0.9604151596476957,0.00041271048346221546,0.8739449741530574,143,0.7380813788743212
75,197,0.9346411310178069,0.0005789307996882973,0.8660798188938946,319,0.5935240479886962
76,72,0.9784661196526196,0.0009425445584136935,0.9093413722612724,186,0.3129813617054859
77,199,0.9503319230158483,0.0006785856832547389,0.8845161723441983,118,0.2823645479225158
78,154,0.9114028134673816,0.0005840959334390355,0.9423450187460034,61,0.34332265317019606
79,135,0.9459427872239844,0.0007488869160495221,0.9243169111037746,138,0.5147820648009246
80,115,0.9097255534962533,0.0002625858683852908,0.8403286366021967,463,0.3552636618174186
81,124,0.9137765421281734,0.0006806446592686564,0.8502435532747848,239,1.1406366339781864
82,149,0.9183559502836592,0.0005924188942112193,0.8769580990901993,382,0.4271084254939262
83,42,0.9274609739539892,5.78131546603981e-06,0.9127177278777203,319,0.5509462683991782
84,95,0.9513812865863354,8.933039408650315e-05,0.8711920343885166,310,0.15426273722756004
85,167,0.9094120608276933,0.0003658937036682224,0.8803204783758376,44,0.288477051782746
86,154,0.9162284616786941,4.918433439711678e-05,0.9107425822367778,429,0.6946594060226611
87,86,0.9145124024465846,0.00038089588482652956,0.8325774375166592,130,0.3023016085939604
88,116,0.9276731898695596,4.498501107277453e-05,0.8533346498293704,239,0.25342917833674794
89,183,0.9112495994544634,6.970896953049406e-05,0.9261885855835674,292,0.42392905073300485
90,113,0.9170754517645237,0.00014534848774271826,0.855714215258865,37,0.21968166613203172
91,80,0.9579519974221324,0.0009921321885539252,0.8900982650444175,448,0.18373622626622063
92,167,0.9865084546359422,0.0006381961793354929,0.8823108112287189,308,0.7071649391238117
93,154,0.9310545450796214,4.0739976664539964e-05,0.8764141960759276,374,0.14035802177211895
94,187,0.938801105015863,0.0006095370655778596,0.8882432851054055,436,0.5597009115864339
95,136,0.9724683778151608,0.0005204883010719083,0.8026378568177603,196,0.21199226471621493
96,194,0.917611548263048,0.0006420136309875001,0.9430394283730364,74,0.137156375028547
97,100,0.9890709924819722,0.00094325832351327,0.9051215724575659,319,0.73641745064185
98,56,0.9647220754478587,0.0003973026099350174,0.8546052370032539,97,0.05428467288527926
99,140,0.9013201147132497,0.00019223667822284153,0.8540640401853877,262,0.01813454713813866
100,141,0.9667584198754899,0.00041978936363127163,0.9133171759086514,476,0.1913981124660543
101,69,0.9192462332816129,0.0003208467548682859,0.8466293277167395,274,0.4810434592488621
102,71,0.9308286255663341,0.0007354395998299638,0.9414977942547225,28,0.15197542563590088
103,182,0.9635529625951539,0.0007022845240158786,0.8256034306374483,40,0.10037393688010289
104,114,0.9624571922774111,0.0005987829240667312,0.8902413678542838,466,0.8514134818904622
105,192,0.9474718414190869,4.6495806992694804e-05,0.9228159990163928,470,0.1955217062101941
106,145,0.9625259839551015,0.0006504321778337054,0.9398795037626531,15,0.25035453291360615
107,146,0.9865127256759716,0.00035619519961662636,0.9466389074252468,447,0.10360032576386646
108,198,0.9207296317199011,1.9914168433995158e-05,0.9157665218301687,294,0.13574574185289848
109,197,0.9848606060472229,0.0003445509529870863,0.8247692603614063,290,0.697803732091753
110,59,0.9119644999660556,9.410245163302166e-05,0.8654412679851363,296,0.6495134158332243
111,91,0.9226530264231452,0.0008612035216421934,0.8441060193970326,104,0.16870549406215413
112,195,0.9761905980291099,5.7390862775781185e-06,0.8749876518006974,286,0.4532882909465265
113,116,0.9435046441945268,0.0004055108884967197,0.8595643330530186,154,0.5510281943440243
114,40,0.9199993209160521,0.0005122656268318844,0.8953447411346616,89,0.2766917728278648
115,52,0.9435976699083075,0.0008989771546620532,0.8643795306041269,413,0.43036526644913947
116,157,0.9876238000494694,0.0003424442618590179,0.9102674021972822,294,0.34114353156959015
117,72,0.9281700736960838,0.000454232835303105,0.8317976555232804,309,1.150563428634067
118,105,0.918809019140042,0.00021222962047263023,0.8593656460120501,18,0.2450984641438577
119,57,0.9439533736000958,0.00010626776691383455,0.9304087132770483,447,0.6408007394882941
120,40,0.9684660199232301,0.0006036678099768716,0.8068848379546675,374,0.15784244684944035
121,196,0.9278683804995242,4.97730666654675e-05,0.9088005148468332,177,0.16531301529759224
122,60,0.9696835383150055,0.0004675842225382964,0.8559155876504146,81,0.08387652705574258
123,102,0.9157976022204157,0.0009561671309176164,0.9181316041824932,434,0.012433485270858828
124,110,0.91880134063426,0.0005763500909479885,0.8757722133971302,372,0.3323837983212909
125,173,0.9198549614832621,3.245510275064964e-05,0.8576187406797708,293,1.1513656483081713
126,159,0.9589205892456297,0.000851313223502016,0.8168867603289948,188,0.19739981943757207
127,69,0.9396645878921004,0.0007911712417500627,0.8827604938188819,277,0.07562001335163848
128,185,0.9441123769109357,0.0001075779872909986,0.8852795077932722,83,0.3932649148188663
129,173,0.9735274068390278,9.251275511197936e-05,0.8249542245893473,253,0.580770621456023
130,86,0.9339228585085049,0.00030868242521169345,0.8072018100793487,391,0.26744086974699033
131,164,0.947030101394969,0.0008352193886850394,0.9018472669145964,126,0.13061729199871733
132,44,0.9863837869599194,0.0006956436679900019,0.9314303324852492,488,0.10178787266750279
133,50,0.9013895718471392,0.0007669213768937275,0.8325013836946609,422,0.9407469569377496
134,75,0.9381182291036946,8.977182261078245e-06,0.8658550292744064,252,0.3343825017646799
135,56,0.9509006367174105,0.00037986135020974174,0.9063008020685692,95,2.2246088404506956
136,133,0.9233331367839345,0.0005467006726516892,0.9444918510109217,200,0.23780763673796868
137,147,0.973120442795342,0.0008586533114671289,0.847600452189104,211,0.37543844952174377
138,152,0.9009937056461712,0.0001637184543788291,0.9356294793416275,461,0.2432879320548808
139,66,0.9473847217411112,0.00039328039420312156,0.8647277531524792,29,0.17102708404866276
140,58,0.9382284739580626,0.0008542033644432193,0.8084021552133749,381,0.051241447059036035
141,87,0.9674346914319766,0.0003649695362320303,0.8388452274765469,128,0.16140919749797816
142,76,0.9492947089876618,0.0009412047208675577,0.8647400900172528,362,0.2962385514197317
143,92,0.9175672612674296,0.0009791447276777054,0.886896757823638,255,0.31352445516305744
144,137,0.9578149050897345,0.00036921639166359637,0.8768460084249295,42,0.1275388294326452
145,79,0.9104975901217282,0.0009685662250798441,0.8756373989506792,89,0.26165678100293865
146,52,0.9497894712574557,0.0008751910984686599,0.8434808699191549,172,0.18637242122458483
147,141,0.9629318608109648,0.000226091603528904,0.8541202314947616,294,0.11212832683538512
148,179,0.9778956285951341,0.00020272199656552314,0.8944551016165645,2,0.11637993036097412
149,139,0.9159342759150496,0.0009230870833825117,0.85293515749227,258,0.6269720063093259
150,41,0.9395968787556251,0.0009970814908772283,0.8938253271648302,143,0.27634229786856307
151,185,0.9469690466243285,0.000973153947089058,0.8918415240150607,469,0.5229054196681406
152,164,0.9439715348252548,0.0004511296502672159,0.9292222595308539,360,0.7635202665289162
153,123,0.9637549245138747,0.00031972819928804383,0.8898897658887596,7,0.11099170648546164
154,178,0.9576951604879571,0.00031756643021414835,0.8446734169239808,121,0.026360660337911727
155,76,0.9478004501636117,0.0006017833585729657,0.8488260093272478,120,0.001369265657736034
156,93,0.9634412948780063,0.0004721420708059464,0.8579758272985808,184,0.6695956609428684
157,147,0.9813085303503697,0.00020345914351523568,0.8104119677254703,293,0.40409932236726476
158,129,0.908493309099495,0.00017558610754667866,0.9095501750857165,350,0.11412519768339859
159,82,0.9589353411879038,0.00040131641615913073,0.866260520441845,5,0.16833691457240849
160,158,0.9248896070467468,5.9851645322267554e-05,0.8482315957591957,410,0.33600861713415087
161,168,0.943279534145309,0.0008892280204712752,0.8276809448526327,260,0.235466443619181
162,123,0.9656356296003331,0.0004970242945344377,0.826433082913444,224,0.1789807596017131
163,75,0.9789266315429963,0.0006485780759582222,0.8803253913812132,482,0.33541958713356185
164,43,0.929618062176569,0.0007290821943176576,0.9168621257187555,496,0.5080317832075646
165,62,0.9172354155633935,0.0009400865949388045,0.8338447376427559,460,0.3724007551732181
166,194,0.9198852398962976,0.00024007675128475363,0.8394200655825762,446,0.3145922876061888
167,96,0.9076232368418281,0.00025102150958561273,0.9069342116282118,458,0.249461910585103
168,178,0.9799063510244992,0.0006246439002543936,0.8206332502642264,339,0.19173441030932759
169,175,0.9001244470372702,1.4534395401458406e-05,0.8071909699590323,244,0.7000394282100235
170,89,0.9614467587377198,2.4202315553693354e-05,0.8369163736909726,294,0.137920163434663
171,155,0.905857392018989,0.0008911743676266623,0.8782848004935591,89,0.3300662589091032
172,48,0.9627011638733929,0.0004036292473548249,0.8694343535765189,268,0.56142898420821
173,54,0.9285970509784668,0.0005121910927809731,0.8644195359671102,74,0.22217962581546327
174,120,0.9153122423703648,0.0002968874430261288,0.8691932238528757,286,0.1710035458499216
175,130,0.9401147939852663,1.312625011271781e-05,0.933421621047107,3,0.15653563422005817
176,152,0.9698108062794615,0.0006267932066147497,0.9273197103299728,70,0.12296098143726368
177,134,0.9003121751912276,0.00038854821556107204,0.8760189606235753,136,0.29042221006259306
178,159,0.9400607955218404,0.0008475071685698829,0.9265919115300223,22,0.03888610084758621
179,139,0.9145760860545084,0.00036599961798058943,0.8202367219705707,346,0.4278542144961137
180,157,0.9313132254265426,0.000615989653318519,0.9147542421541965,14,0.17353483452729135
181,49,0.9042368849974614,0.0004871451758988968,0.9403007962583068,244,0.2361386821270735
182,178,0.9068810321909122,0.0008417359097784082,0.9303108048933978,11,0.12132997962778179
183,75,0.9139657736483318,0.00042151427720689145,0.8330501806319712,238,0.19177231629451091
184,79,0.902400392832767,0.0001749020487857666,0.9008203923852315,323,0.411617969278641
